emp_no,first_name,last_name,dept_name,from_date,to_date
56831,Zvonko,Baaz,Development,1990-10-17,9999-01-01
56832,Jacopo,Falster,Production,1995-09-04,9999-01-01
56834,Aloke,Bressoud,Sales,1997-01-09,9999-01-01
56839,Zeydy,Morrow,Quality Management,1996-09-08,9999-01-01
56844,Kiyotoshi,Malabarba,Production,1999-11-05,9999-01-01
56852,Stafford,Khamsi,Quality Management,1990-02-03,9999-01-01
56853,Monique,Bennis,Quality Management,1998-04-06,9999-01-01
56859,Conor,Jansen,Human Resources,1991-02-20,9999-01-01
56861,Premal,Bondorf,Production,1998-06-01,9999-01-01
56862,Ymte,Thimonier,Sales,1985-04-02,9999-01-01
56867,Jaques,Luiz,Customer Service,1990-03-01,9999-01-01
56868,Kensyu,Babb,Development,1994-11-25,9999-01-01
56873,Jaber,Delgrande,Customer Service,1987-03-10,9999-01-01
56874,Karsten,Laventhal,Marketing,1994-03-18,9999-01-01
56878,Changho,Domenig,Finance,1992-01-31,9999-01-01
56879,Arne,Junet,Research,1988-11-04,9999-01-01
56880,Parto,Vendrig,Sales,1989-10-08,9999-01-01
56883,Honglan,Busillo,Research,1987-12-03,9999-01-01
56887,Fabrizio,Itschner,Sales,1998-06-26,9999-01-01
56890,Zvonko,Rajaraman,Sales,1992-07-19,9999-01-01
56893,Jixiang,Bhattacharjee,Production,1993-05-09,9999-01-01
56894,Sajjan,Clouatre,Production,1995-03-30,9999-01-01
56899,Shiv,Steinauer,Research,1988-04-17,9999-01-01
56901,Sverrir,Fordan,Production,1998-01-05,9999-01-01
56903,Giordano,Schusler,Customer Service,1996-06-21,9999-01-01
56905,Insup,Genin,Sales,1988-04-04,9999-01-01
56907,Xianlong,Guenter,Production,1989-05-08,9999-01-01
56912,Felicidad,Polupanov,Development,2002-05-05,9999-01-01
56923,Djelloul,Zuberek,Customer Service,1996-05-18,9999-01-01
56925,Sverrir,Kilgore,Sales,1988-01-06,9999-01-01
56929,Duro,Lung,Finance,1992-06-11,9999-01-01
56934,Dekang,Kaltofen,Development,1998-05-18,9999-01-01
56936,Bernice,Wendorf,Development,1988-10-23,9999-01-01
56938,Thodoros,Flowers,Marketing,1985-12-10,9999-01-01
56942,Morrie,Reistad,Research,1997-09-04,9999-01-01
56943,Kendra,Mapelli,Sales,1995-12-26,9999-01-01
56945,Fay,Nanard,Production,1998-02-15,9999-01-01
56950,Saeed,Edelhoff,Sales,1994-11-20,9999-01-01
56952,Itzchak,Leppanen,Development,1988-10-14,9999-01-01
56954,Reuven,Peir,Customer Service,1994-02-20,9999-01-01
56955,Lucian,Gihr,Production,1999-06-30,9999-01-01
56956,Dante,Showalter,Customer Service,1992-09-11,9999-01-01
56961,Guoxiang,Peyn,Customer Service,1997-11-02,9999-01-01
56968,Divier,Garigliano,Finance,2000-01-28,9999-01-01
56972,Shigeo,Schlumberger,Production,2000-05-13,9999-01-01
56975,Samphel,Sudkamp,Development,1995-12-21,9999-01-01
56981,Marsja,Tischendorf,Marketing,2000-08-26,9999-01-01
56984,Guiseppe,Erni,Production,1986-11-27,9999-01-01
56985,Pranav,Bolotov,Marketing,1985-11-02,9999-01-01
56990,Dinkar,Hanratty,Production,1994-03-24,9999-01-01
56991,Keung,Laurillard,Human Resources,1990-11-17,9999-01-01
57000,Toshiko,Lortz,Sales,1991-08-11,9999-01-01
57004,Guther,Peris,Production,1990-11-24,9999-01-01
57006,Dung,Middleton,Production,1998-07-10,9999-01-01
57022,Michaela,Keustermans,Development,1995-01-23,9999-01-01
57026,Tuval,Gyimothy,Development,1987-11-30,9999-01-01
57027,Niranjan,Conta,Marketing,1995-08-09,9999-01-01
57040,Arup,Lagarias,Sales,1986-04-24,9999-01-01
57043,Jaber,Falco,Development,1988-06-24,9999-01-01
57045,Luise,Picci,Finance,1992-01-03,9999-01-01
57048,Sanjay,Suomi,Customer Service,1986-03-15,9999-01-01
57049,Eberhardt,Pettit,Production,1992-09-10,9999-01-01
57055,Divine,Kitai,Human Resources,1993-07-20,9999-01-01
57064,Arco,Serov,Development,1990-11-26,9999-01-01
57068,Mari,Rabehasaina,Production,1990-12-08,9999-01-01
57071,Wilmer,Stenning,Production,1987-10-02,9999-01-01
57075,Alexius,Duclos,Customer Service,1994-08-19,9999-01-01
57078,Itzchak,Polupanov,Production,2000-11-09,9999-01-01
57079,Shay,Rassart,Development,1985-08-23,9999-01-01
57080,Odinaldo,Sooriamurthi,Development,1995-12-30,9999-01-01
57087,Niranjan,Giarratana,Development,1990-03-06,9999-01-01
57095,Kellyn,Verhoeff,Development,1994-08-08,9999-01-01
57106,Shridhar,Chiodo,Customer Service,1996-04-21,9999-01-01
57107,Shigenori,Serre,Sales,1991-08-23,9999-01-01
57110,Gou,Stellhorn,Sales,1985-05-24,9999-01-01
57111,Armond,Suermann,Development,1991-12-30,9999-01-01
57112,Leandro,Dolinsky,Production,1998-04-11,9999-01-01
57115,Nirmal,Zobel,Development,1999-01-17,9999-01-01
57118,Xinan,Champarnaud,Development,1998-07-29,9999-01-01
57119,Aleksandar,Bondorf,Human Resources,1989-01-20,9999-01-01
57123,Fatemeh,Zedlitz,Development,1999-04-25,9999-01-01
57124,Kwangyoen,Benzmuller,Customer Service,1995-11-10,9999-01-01
57135,Christ,Dolinsky,Sales,1997-02-05,9999-01-01
57139,Arco,Merel,Marketing,1999-05-03,9999-01-01
57144,Arunachalam,Salinas,Production,1989-09-01,9999-01-01
57150,Jayesh,Leivant,Development,1998-10-05,9999-01-01
57153,Rosine,Azumi,Finance,1992-10-30,9999-01-01
57155,Lene,Brattka,Sales,1995-08-17,9999-01-01
57164,Manu,Gecsel,Sales,1998-11-16,9999-01-01
57169,Kiam,Schiper,Human Resources,1987-04-16,9999-01-01
57176,Pranav,Stenning,Production,1990-06-08,9999-01-01
57177,Souichi,Papsdorf,Finance,1995-10-17,9999-01-01
57178,Oldrich,Rousseau,Sales,1995-05-20,9999-01-01
57179,Danai,Alencar,Production,1998-10-18,9999-01-01
57180,Hein,Byoun,Development,1992-11-16,9999-01-01
57184,Takushi,Cooke,Production,1992-08-27,9999-01-01
57188,Taiji,Juneja,Research,1995-06-21,9999-01-01
57190,Youpyo,Uhrik,Human Resources,1994-04-16,9999-01-01
57194,Eishiro,Frolund,Production,1995-10-24,9999-01-01
57198,Yucel,Noriega,Production,1991-04-24,9999-01-01
57202,Subhrajyoti,Maksimenko,Customer Service,2001-08-27,9999-01-01
57205,Mohd,Verspoor,Development,1994-11-15,9999-01-01
57208,Xiaoqiu,Greibach,Customer Service,1994-09-24,9999-01-01
57210,Odinaldo,Veccia,Marketing,1988-02-13,9999-01-01
57211,Uta,Undy,Development,1985-03-01,9999-01-01
57217,Freyja,Sommer,Development,1996-05-21,9999-01-01
57218,Masamitsu,Ranum,Production,1989-06-21,9999-01-01
57223,Danel,Copas,Development,1996-04-14,9999-01-01
57229,Haldon,Usery,Sales,1996-07-17,9999-01-01
57230,Vincent,Bennis,Marketing,1989-06-22,9999-01-01
57233,Hein,Murillo,Development,1999-11-12,9999-01-01
57234,Junsik,Veldwijk,Marketing,1985-10-08,9999-01-01
57242,Tetsushi,Lowrie,Development,1993-12-04,9999-01-01
57243,Shushma,Matteis,Production,1990-09-11,9999-01-01
57246,Uinam,Bamford,Marketing,1992-03-05,9999-01-01
57248,Xiaocheng,Frolund,Production,1991-05-26,9999-01-01
57255,Hyuckchul,Rodiger,Human Resources,1993-08-17,9999-01-01
57256,Tomoyuki,Kalafatis,Research,1996-05-27,9999-01-01
57261,Xinan,Usdin,Production,1996-05-22,9999-01-01
57262,Steve,Yavatkar,Sales,1988-01-31,9999-01-01
57267,Tze,Montresor,Finance,1992-06-10,9999-01-01
57269,Tesuro,Berztiss,Human Resources,1985-06-28,9999-01-01
57272,Neelam,Siprelle,Production,1995-04-08,9999-01-01
57279,Rafail,Swab,Sales,2000-02-01,9999-01-01
57294,Sariel,Engelmann,Research,2000-01-04,9999-01-01
57295,Armond,Carrera,Production,1998-02-14,9999-01-01
57297,Tamiya,Benaini,Marketing,1985-02-24,9999-01-01
57300,Alejandro,Uhrig,Sales,1998-12-26,9999-01-01
57303,Kiyotoshi,Oskamp,Sales,1990-05-01,9999-01-01
57308,Gritta,Parfitt,Development,1991-02-14,9999-01-01
57311,Alenka,Maliniak,Development,1991-02-17,9999-01-01
57312,Muzhong,Preusig,Production,1996-11-22,9999-01-01
57314,Ymte,Zyda,Production,1994-04-08,9999-01-01
57324,Abdelghani,Gajiwala,Development,1994-08-01,9999-01-01
57328,Gopalakrishnan,Silva,Production,1997-10-22,9999-01-01
57331,Visit,Passino,Quality Management,1989-04-10,9999-01-01
57335,Francoise,Casperson,Marketing,1987-01-21,9999-01-01
57337,Vasiliy,Rabehasaina,Production,1992-05-06,9999-01-01
57338,Mostafa,Rouquie,Sales,1999-03-07,9999-01-01
57340,Gro,Constantine,Development,1989-08-19,9999-01-01
57342,Arnd,Krychniak,Production,1994-05-07,9999-01-01
57349,Debaprosad,Bondorf,Development,1996-04-17,9999-01-01
57350,Aluzio,Georgakopoulos,Production,1986-03-25,9999-01-01
57355,Shahar,Condotta,Quality Management,1998-02-18,9999-01-01
57367,Zissis,Fabrizio,Development,1992-03-26,9999-01-01
57373,Mabry,Zhiwei,Sales,1990-04-29,9999-01-01
57377,Adel,Slobodova,Development,1995-08-15,9999-01-01
57379,Pranay,Pollacia,Customer Service,1993-06-15,9999-01-01
57380,Bodh,Verhoeff,Development,1987-02-19,9999-01-01
57384,Chirstian,Birch,Production,1995-02-05,9999-01-01
57390,Isamu,Perl,Development,1997-05-11,9999-01-01
57392,Yechezkel,Detkin,Customer Service,1989-01-15,9999-01-01
57397,Xiaocheng,Hmelo,Finance,1990-02-05,9999-01-01
57398,Premal,Puppo,Sales,1997-08-01,9999-01-01
57417,Gino,Aseltine,Production,1999-02-07,9999-01-01
57421,Girolamo,Liesche,Quality Management,1996-11-21,9999-01-01
57426,Yannik,Lorch,Development,1987-02-11,9999-01-01
57427,Adit,Kalefeld,Production,1997-03-13,9999-01-01
57429,Krister,Zhang,Quality Management,1989-04-03,9999-01-01
57442,Arvin,Klassen,Development,1992-11-15,9999-01-01
57450,Shridhar,Lagarias,Sales,1987-08-17,9999-01-01
57457,Iara,Haumacher,Development,1995-09-27,9999-01-01
57463,Tetsushi,Ranon,Customer Service,1994-12-21,9999-01-01
57464,Weidon,Benveniste,Customer Service,1990-05-05,9999-01-01
57468,Collette,Roccetti,Development,1998-02-08,9999-01-01
57472,Stepehn,Willoner,Production,1999-04-07,9999-01-01
57474,Gilbert,Katalagarianos,Marketing,1995-04-17,9999-01-01
57475,Parviz,Takanami,Human Resources,1986-03-06,9999-01-01
57476,Badri,Staudhammer,Sales,1988-09-30,9999-01-01
57477,Kellyn,Rijsenbrij,Development,1996-06-14,9999-01-01
57485,Georgy,Ligten,Customer Service,1987-07-26,9999-01-01
57487,Yefim,Majewski,Human Resources,1987-10-12,9999-01-01
57488,Junichi,Shimshoni,Development,1996-06-29,9999-01-01
57489,Jaihie,Benaini,Development,1985-06-18,9999-01-01
57492,Parto,Miyakawa,Sales,1987-04-24,9999-01-01
57503,Yefim,Spinelli,Production,1994-10-08,9999-01-01
57508,Muneo,Rousseau,Sales,1985-04-30,9999-01-01
57511,Weidon,Crabtree,Marketing,1994-04-28,9999-01-01
57513,Zorica,Merli,Development,1999-02-26,9999-01-01
57524,Masamitsu,Chartres,Customer Service,1986-02-21,9999-01-01
57525,Herbert,Dechter,Sales,1995-10-24,9999-01-01
57526,Hatim,Denis,Sales,1994-08-01,9999-01-01
57531,Tonia,Tomescu,Quality Management,1989-10-31,9999-01-01
57532,Yannis,Cochrane,Customer Service,1994-04-27,9999-01-01
57535,Dante,Petereit,Production,1998-12-25,9999-01-01
57537,Yannis,Hoogerwoord,Marketing,1999-10-15,9999-01-01
57540,Shounak,Armand,Development,1990-06-12,9999-01-01
57544,Gererd,Lammel,Development,1986-04-11,9999-01-01
57546,Lena,Schoegge,Finance,1990-03-06,9999-01-01
57547,Jaber,Stafford,Production,1995-10-23,9999-01-01
57548,Unal,Gihr,Production,1999-05-11,9999-01-01
57561,Mototsugu,Munos,Finance,1990-04-01,9999-01-01
57566,Masami,Barinka,Development,1996-02-20,9999-01-01
57568,Toshimori,Gornas,Development,1992-08-10,9999-01-01
57575,Kellie,Schurmann,Development,1994-11-12,9999-01-01
57577,Piyush,Holburn,Sales,1992-07-29,9999-01-01
57578,Moheb,Fioravanti,Production,1989-05-22,9999-01-01
57580,Mrinalini,Krupka,Production,1991-04-05,9999-01-01
57581,Uta,Riesenhuber,Quality Management,1998-12-05,9999-01-01
57596,Shigehito,Schahn,Sales,1992-07-15,9999-01-01
57598,Lokesh,Heinisuo,Sales,1991-10-04,9999-01-01
57601,Kazuyasu,Brobst,Sales,1994-09-23,9999-01-01
57603,Arunas,Frezza,Development,1988-03-26,9999-01-01
57609,Greger,Casperson,Development,1996-03-15,9999-01-01
57610,Khaled,Vecchi,Sales,1999-10-06,9999-01-01
57612,Raimond,Rousseau,Finance,1988-06-21,9999-01-01
57616,Akeno,Bergere,Research,1997-05-01,9999-01-01
57618,Subhada,Schneeberger,Development,1995-09-30,9999-01-01
57620,Along,Kragelund,Quality Management,1986-04-18,9999-01-01
57622,Jianhua,Koshino,Production,1995-03-15,9999-01-01
57628,Shigehiro,Gornas,Marketing,1990-03-14,9999-01-01
57629,Gretta,Vendrig,Sales,1989-01-15,9999-01-01
57649,Gino,Kropp,Development,1997-11-11,9999-01-01
57651,Ohad,Oxman,Human Resources,1992-12-05,9999-01-01
57658,Maja,Bahk,Human Resources,1987-09-14,9999-01-01
57664,Gladys,England,Development,1985-09-18,9999-01-01
57665,Eldridge,Whittlesey,Customer Service,2000-05-08,9999-01-01
57670,Poornachandra,Perz,Development,1997-03-21,9999-01-01
57672,Stevo,Peltason,Production,1997-12-30,9999-01-01
57676,Alper,Noriega,Customer Service,1999-07-08,9999-01-01
57680,Tse,Herath,Production,1996-03-22,9999-01-01
57688,Mariangiola,Hofting,Sales,1993-01-22,9999-01-01
57689,Shuzo,Rosch,Human Resources,1986-06-28,9999-01-01
57695,Zhiguo,Kusakari,Marketing,1998-10-06,9999-01-01
57696,Arne,Monarch,Production,1998-04-22,9999-01-01
57699,Yakichi,Talmor,Development,1989-07-25,9999-01-01
57706,Kolar,Quaggetto,Marketing,1989-07-14,9999-01-01
57708,Nahla,Pardalos,Production,1990-07-29,9999-01-01
57711,Bezalel,Farrow,Research,1989-10-25,9999-01-01
57713,Theron,Bolotov,Development,1989-03-23,9999-01-01
57715,Shaibal,Chinen,Human Resources,1997-07-13,9999-01-01
57716,Kristinn,Schmiedel,Development,1985-12-12,9999-01-01
57720,Subhankar,Hasham,Quality Management,1986-10-10,9999-01-01
57721,Aral,Weedman,Marketing,1991-08-01,9999-01-01
57722,Florina,Candan,Sales,1998-02-15,9999-01-01
57724,Mark,Cools,Sales,1995-02-18,9999-01-01
57727,Yannis,Vesel,Quality Management,1996-09-10,9999-01-01
57733,Ramalingam,Cooke,Marketing,1999-10-30,9999-01-01
57740,Georgi,Osgood,Development,1987-03-31,9999-01-01
57741,Dinah,Bouloucos,Production,1996-11-18,9999-01-01
57744,Kiyotoshi,Pesch,Production,1995-02-15,9999-01-01
57747,Fun,Lubachevsky,Development,1994-11-26,9999-01-01
57749,Luisa,Conte,Research,1987-12-05,9999-01-01
57751,Dulce,Maksimenko,Development,1985-06-05,9999-01-01
57755,Breannda,Munoz,Sales,1995-08-30,9999-01-01
57756,Kwok,Ghalwash,Human Resources,1988-07-27,9999-01-01
57768,Izaskun,Talmor,Sales,1985-09-14,9999-01-01
57769,Youpyo,Vickson,Customer Service,1987-02-19,9999-01-01
57780,Martial,Androutsos,Customer Service,1988-06-07,9999-01-01
57795,Magy,Tetzlaff,Research,1987-04-24,9999-01-01
57815,JiYoung,Munawer,Finance,1989-01-14,9999-01-01
57821,Alejandra,Bolotov,Sales,1986-10-26,9999-01-01
57822,Sachem,Camurati,Sales,1996-08-03,9999-01-01
57827,Abdelkader,Vasanthakumar,Human Resources,1995-11-05,9999-01-01
57829,Taisook,Tokunaga,Finance,1999-07-07,9999-01-01
57834,Hideyuki,Demeyer,Development,1987-07-09,9999-01-01
57837,Aria,Murtafg,Development,1996-02-09,9999-01-01
57840,Panayotis,Jullig,Sales,1993-12-25,9999-01-01
57841,Jordanka,Baek,Human Resources,2001-04-12,9999-01-01
57847,Moon,Kornatzky,Research,1985-09-07,9999-01-01
57850,Ayakannu,Kawashima,Marketing,1999-11-03,9999-01-01
57852,Sivanarayana,Sadowsky,Finance,1993-06-10,9999-01-01
57856,Arunachalam,Bahi,Customer Service,1993-04-10,9999-01-01
57861,Akhilish,Munoz,Research,1989-04-25,9999-01-01
57862,Reuven,Nyanchama,Human Resources,1990-07-08,9999-01-01
57865,Kazuhiro,Demian,Development,1987-11-26,9999-01-01
57869,Martine,Perl,Development,1988-11-26,9999-01-01
57870,Yurii,Georgatos,Development,1998-02-17,9999-01-01
57877,Brigham,Delgrande,Development,1990-09-22,9999-01-01
57880,Mandell,Brodie,Sales,1999-11-30,9999-01-01
57882,Marsal,Bressoud,Marketing,1988-12-28,9999-01-01
57883,Uma,Danlos,Quality Management,1987-10-27,9999-01-01
57891,Oscar,Schapiro,Production,1996-07-12,9999-01-01
57893,Khalid,Tasistro,Development,1987-08-02,9999-01-01
57898,Atilio,Pearson,Development,1986-05-17,9999-01-01
57901,Koichi,VanScheik,Development,1997-12-07,9999-01-01
57903,Chriss,Munck,Marketing,1992-02-16,9999-01-01
57908,Holgard,Monarch,Sales,1995-04-29,9999-01-01
57910,Krassimir,Bale,Development,1989-06-05,9999-01-01
57915,Aral,Kermarrec,Human Resources,1991-10-05,9999-01-01
57918,Adib,Caine,Production,1999-12-29,9999-01-01
57919,Eckart,Fiutem,Human Resources,1988-07-12,9999-01-01
57924,Zhensheng,Matzat,Quality Management,1992-06-28,9999-01-01
57929,Gro,Debuse,Production,1985-11-13,9999-01-01
57930,Hideyuki,Veeraraghavan,Sales,1990-12-28,9999-01-01
57933,Yishay,Aamodt,Sales,1995-11-28,9999-01-01
57942,Licheng,Lindenbaum,Production,1991-12-24,9999-01-01
57945,Tsvetan,Merlo,Development,1992-05-08,9999-01-01
57949,Oldrich,Pezzoli,Sales,1999-01-20,9999-01-01
57950,Hidde,Bergere,Production,1995-08-01,9999-01-01
57958,Akhilish,Setiz,Production,1990-09-22,9999-01-01
57959,Tooru,Cyre,Customer Service,1986-09-28,9999-01-01
57965,Manton,Bolsens,Sales,1995-03-07,9999-01-01
57968,Froduald,Perng,Development,1992-08-22,9999-01-01
57971,Ziya,Eiron,Development,1992-05-23,9999-01-01
57972,Gian,Malinowski,Sales,1989-02-06,9999-01-01
57979,Jahangir,Noriega,Development,1992-01-08,9999-01-01
57980,Shay,Matheson,Development,1985-04-29,9999-01-01
57983,Ranga,Iisaku,Marketing,1986-02-10,9999-01-01
57985,Mokhtar,Bamford,Production,1993-04-27,9999-01-01
57986,George,Bodoff,Production,1991-08-12,9999-01-01
57988,Sahrah,Isaak,Research,1989-08-08,9999-01-01
57990,Haldun,Buescher,Production,1990-08-01,9999-01-01
57996,Zhonghua,Xiaoshan,Sales,1996-08-20,9999-01-01
58006,Ipke,Binding,Sales,1994-11-10,9999-01-01
58007,Nitsan,Zlotek,Production,1993-01-03,9999-01-01
58009,Herbert,England,Production,1999-06-19,9999-01-01
58010,Gennady,Broder,Sales,1994-10-20,9999-01-01
58012,Tadahiro,DasSarma,Development,1997-12-25,9999-01-01
58018,Sarita,Schieder,Production,1997-12-19,9999-01-01
58022,Franziska,Marsiglia,Research,1996-08-31,9999-01-01
58024,Naftaly,Berztiss,Development,1993-08-08,9999-01-01
58026,Marko,Klerer,Human Resources,1993-12-30,9999-01-01
58027,Yakkov,Luef,Development,1993-01-18,9999-01-01
58035,Jenwei,Speckmann,Development,1986-02-05,9999-01-01
58044,Deniz,Khalil,Research,1991-02-26,9999-01-01
58045,Sajjad,Ellozy,Marketing,1999-09-23,9999-01-01
58050,Demin,Saoudi,Sales,1999-12-25,9999-01-01
58052,Kankanahalli,Melski,Production,1991-08-27,9999-01-01
58053,Zissis,Karunanithi,Sales,1988-12-06,9999-01-01
58054,Christophe,Radwan,Development,1990-12-01,9999-01-01
58055,Radoslaw,Plotkin,Production,1996-03-04,9999-01-01
58059,Behnaam,Zwicker,Production,1986-06-20,9999-01-01
58062,Qingxiang,Chartres,Production,1997-10-08,9999-01-01
58063,Dannz,Masand,Marketing,1998-07-29,9999-01-01
58067,Noritoshi,Walstra,Development,1995-08-17,9999-01-01
58073,Jianwen,Vecchio,Research,1993-12-26,9999-01-01
58077,Tse,Weedon,Finance,1991-04-27,9999-01-01
58080,Hideyuki,Birta,Sales,1987-08-28,9999-01-01
58082,Mohammad,Talmor,Quality Management,2002-03-12,9999-01-01
58087,Narain,Szilard,Finance,1992-07-22,9999-01-01
58094,Danil,Katiyar,Development,1998-05-23,9999-01-01
58096,Rosine,Usdin,Sales,1998-11-24,9999-01-01
58099,Yunming,Fortenbacher,Finance,1996-06-17,9999-01-01
58102,Aiichiro,Erni,Production,2000-10-02,9999-01-01
58105,Adit,Luck,Development,1991-11-13,9999-01-01
58107,Shichao,Schapiro,Development,1993-01-08,9999-01-01
58109,Terresa,Ramsak,Quality Management,1996-12-11,9999-01-01
58111,Naftaly,Trystram,Research,1996-12-31,9999-01-01
58115,Manu,Peir,Development,1987-07-28,9999-01-01
58118,Hidekazu,Butner,Human Resources,1995-04-01,9999-01-01
58119,Mads,Glinert,Research,1990-03-27,9999-01-01
58123,Zhaofang,Isard,Marketing,1988-11-08,9999-01-01
58125,Xiaoshan,Cesareni,Development,1986-01-19,9999-01-01
58127,Arno,Pietracaprina,Development,1999-07-27,9999-01-01
58129,Chuanyi,Schnabel,Sales,1987-10-24,9999-01-01
58132,Zdislav,Kawashimo,Sales,1993-10-29,9999-01-01
58136,Lidong,Tsunoo,Development,1991-07-18,9999-01-01
58139,Otmar,Kakkar,Production,1992-10-20,9999-01-01
58145,Kristinn,Bazelow,Production,1995-03-25,9999-01-01
58151,Masanao,Smeets,Development,1986-04-06,9999-01-01
58161,Akhilish,Karner,Customer Service,1995-01-08,9999-01-01
58168,Aksel,Servieres,Development,1998-03-26,9999-01-01
58177,Vidar,Basagni,Customer Service,1987-08-13,9999-01-01
58181,Gunilla,Irland,Development,1996-05-08,9999-01-01
58182,Gennady,Kroft,Development,1988-09-04,9999-01-01
58184,Yonghong,Mandelberg,Research,1997-03-31,9999-01-01
58187,Muneo,Rosiles,Development,1999-10-15,9999-01-01
58197,Sahrah,Suri,Production,1987-06-26,9999-01-01
58199,Yechiam,Karnin,Sales,1995-12-02,9999-01-01
58200,Berni,Ozeki,Development,1994-04-12,9999-01-01
58201,Willard,Bashian,Development,1985-08-30,9999-01-01
58206,Shaibal,Lorie,Development,1989-11-30,9999-01-01
58213,Toshimitsu,Wolniewicz,Production,1995-04-18,9999-01-01
58220,Uta,Vandervoorde,Development,1997-03-09,9999-01-01
58226,Ayonca,Gill,Sales,1997-01-20,9999-01-01
58227,Armond,Bierbaum,Development,1997-04-18,9999-01-01
58231,Marjo,Pauthner,Sales,1985-11-25,9999-01-01
58238,Bartek,Farris,Finance,1987-01-19,9999-01-01
58253,Sachio,Chartres,Production,1992-05-06,9999-01-01
58254,Premal,Ranft,Production,1994-01-20,9999-01-01
58260,Kiyomitsu,Noriega,Development,1998-05-05,9999-01-01
58265,Guozhong,Wilharm,Sales,1992-10-30,9999-01-01
58270,Jeanna,Ginneken,Development,1995-09-09,9999-01-01
58280,Manohar,Peris,Development,1988-10-28,9999-01-01
58292,Patricio,Codenie,Customer Service,1997-06-25,9999-01-01
58300,Frazer,Picco,Development,2001-10-27,9999-01-01
58301,Gift,Lindqvist,Human Resources,1987-07-06,9999-01-01
58304,Mabo,Grospietsch,Development,1992-03-25,9999-01-01
58308,Valter,Maliniak,Quality Management,1996-04-16,9999-01-01
58312,Fumiya,Terwilliger,Human Resources,1990-03-27,9999-01-01
58317,Eric,Kenevan,Development,1993-03-01,9999-01-01
58318,Supot,Chinal,Research,1991-12-13,9999-01-01
58320,Satosi,Madeira,Customer Service,2000-05-23,9999-01-01
58321,Djelloul,Hopewell,Human Resources,1994-03-10,9999-01-01
58325,Kokou,Riexinger,Development,1988-11-27,9999-01-01
58327,Zhiwei,Tischendorf,Customer Service,1999-12-27,9999-01-01
58332,Dines,Bierbaum,Development,1989-06-29,9999-01-01
58334,Wojceich,Heydon,Sales,1995-09-30,9999-01-01
58335,Chenye,Brodie,Research,1985-04-03,9999-01-01
58336,Lucian,Jeong,Development,1997-10-30,9999-01-01
58342,Serenella,Muniz,Customer Service,1997-04-27,9999-01-01
58343,Moto,Vidal,Sales,1989-02-21,9999-01-01
58346,Ibibia,Lambe,Marketing,1987-07-06,9999-01-01
58349,Morris,Ouhyoung,Research,1998-01-18,9999-01-01
58352,Soenke,Hatcliff,Production,1987-07-28,9999-01-01
58353,Shen,Brizzi,Sales,1999-05-03,9999-01-01
58357,Djenana,Vecchi,Production,1998-10-02,9999-01-01
58362,Raimond,Randi,Sales,1997-08-24,9999-01-01
58363,Jaideep,Caine,Research,1986-09-11,9999-01-01
58366,Akeel,Schnabel,Quality Management,1987-11-03,9999-01-01
58369,Jiann,Schiper,Human Resources,1990-02-02,9999-01-01
58371,Vugranam,Msuda,Sales,1991-08-21,9999-01-01
58372,Jingling,Kawashima,Development,1994-03-23,9999-01-01
58376,Marsja,Diderrich,Sales,1999-08-14,9999-01-01
58377,Goo,Panienski,Customer Service,1987-03-23,9999-01-01
58378,Bilhanan,Gruenwald,Production,1998-08-12,9999-01-01
58381,JoAnna,Gustavson,Production,1996-12-24,9999-01-01
58387,Shaz,Thebaut,Production,1987-12-20,9999-01-01
58388,Aemilian,Parveen,Quality Management,1986-12-25,9999-01-01
58391,Ayonca,Gyimothy,Customer Service,1997-09-17,9999-01-01
58392,Youpyo,VanScheik,Development,1996-09-29,9999-01-01
58395,Hisao,Apsitis,Quality Management,1995-02-10,9999-01-01
58396,Kenton,Billawala,Sales,1991-09-19,9999-01-01
58401,Jiang,Garrabrants,Sales,1996-11-01,9999-01-01
58409,Mara,Fordan,Development,1992-06-13,9999-01-01
58410,Samphel,Bennis,Research,1986-06-13,9999-01-01
58412,Mabry,Sidje,Finance,1998-07-04,9999-01-01
58414,Shih,Schrift,Research,1988-09-01,9999-01-01
58417,Garnet,Bouloucos,Research,1989-05-10,9999-01-01
58423,Wuxu,Badr,Research,1997-06-03,9999-01-01
58425,Foong,Calkin,Development,1991-09-04,9999-01-01
58426,Seongbae,Cools,Marketing,1997-12-23,9999-01-01
58427,Guozhong,Frezza,Sales,1993-03-24,9999-01-01
58434,Aluzio,Melton,Development,1998-05-02,9999-01-01
58437,Maya,Rusterholz,Sales,1991-10-19,9999-01-01
58443,Stein,Heping,Sales,1991-05-31,9999-01-01
58446,Xiaoqiang,Reghbati,Marketing,1996-03-07,9999-01-01
58455,Miomir,Vidya,Production,1989-11-28,9999-01-01
58457,Yuping,Delaune,Production,1985-04-29,9999-01-01
58458,Turgut,Koshiba,Sales,1986-10-23,9999-01-01
58460,Mart,Wixon,Sales,2001-09-18,9999-01-01
58462,Ronnie,Paciorek,Sales,1987-02-09,9999-01-01
58464,Mara,Maliniak,Production,1991-08-20,9999-01-01
58468,Lucian,Limongiello,Marketing,1991-06-25,9999-01-01
58475,Angel,Chaudhury,Production,1996-07-11,9999-01-01
58483,Zine,Plotkin,Development,1997-02-05,9999-01-01
58485,Genki,Raney,Sales,1993-03-06,9999-01-01
58490,Toshiko,Navazio,Sales,1990-07-27,9999-01-01
