emp_no,first_name,last_name,birth_date,from_date,to_date,dept_name
84179,Shuichi,Nanard,1965-01-25,1989-03-14,9999-01-01,Production
84236,Eberhardt,Barriga,1965-01-18,1987-06-04,9999-01-01,Sales
84315,Kristina,Baumann,1965-01-23,1996-09-26,9999-01-01,Development
84451,Shiv,Aumann,1965-01-20,1998-06-14,9999-01-01,Development
84508,Tommaso,Vidya,1965-01-17,1998-05-02,9999-01-01,Development
84840,Sverrir,Neimat,1965-01-14,1996-11-03,9999-01-01,Research
84922,Parke,Unno,1965-01-22,1996-07-01,9999-01-01,Development
84942,Shin,Fujisaki,1965-01-15,1988-02-23,9999-01-01,Quality Management
85216,Ferdinand,Rosiles,1965-01-18,1997-07-08,9999-01-01,Finance
85288,Younwoo,Luders,1965-01-06,1998-12-08,9999-01-01,Quality Management
85414,Chiradeep,Callaway,1965-01-14,1999-07-30,9999-01-01,Finance
85445,Yongdong,Pollock,1965-01-09,1998-03-17,9999-01-01,Sales
85702,Udi,Merks,1965-01-04,1997-08-15,9999-01-01,Quality Management
85874,Pasqua,Taubman,1965-01-30,1986-06-23,9999-01-01,Customer Service
86213,Kristine,Clemencon,1965-01-28,1993-06-01,9999-01-01,Marketing
86354,Ronghao,Segond,1965-01-27,1993-09-13,9999-01-01,Development
86422,Jaewon,Thummel,1965-02-01,1985-09-14,9999-01-01,Marketing
86546,Oldrich,Woycyznski,1965-01-09,1985-05-15,9999-01-01,Production
86655,Zhenhua,Lorys,1965-01-01,1995-08-21,9999-01-01,Production
86672,JoAnne,Anido,1965-01-15,1995-09-15,9999-01-01,Research
87129,Keung,Neiman,1965-01-16,1997-04-13,9999-01-01,Sales
87353,Quingbo,Coombs,1965-01-07,1999-01-17,9999-01-01,Development
87714,Khun,Janetzko,1965-01-16,1989-09-13,9999-01-01,Production
87729,Yongmin,Roccetti,1965-01-24,1986-12-10,9999-01-01,Research
87783,Conor,Thorensen,1965-01-26,1988-02-24,9999-01-01,Development
88103,Goo,Bresenham,1965-01-09,1999-01-31,9999-01-01,Sales
88411,Lena,Cannane,1965-01-31,2000-01-28,9999-01-01,Development
88422,Jungsoon,Birsak,1965-01-28,1985-04-03,9999-01-01,Production
88647,Vasiliy,Ratnaker,1965-01-10,1995-08-09,9999-01-01,Development
88958,Vojin,Coombs,1965-01-22,1995-07-23,9999-01-01,Finance
88965,Mang,Hedayat,1965-01-20,1995-05-22,9999-01-01,Development
89048,Otmar,Birjandi,1965-01-24,1985-03-23,9999-01-01,Development
89090,Tetsushi,Theuretzbacher,1965-01-26,1990-02-01,9999-01-01,Human Resources
89161,Conal,Yetto,1965-01-07,1991-01-12,9999-01-01,Finance
89207,Along,Erol,1965-01-15,1992-10-16,9999-01-01,Human Resources
89346,Mansur,Comyn,1965-01-13,1999-08-31,9999-01-01,Development
89590,Guther,Rothenberg,1965-01-27,1991-08-08,9999-01-01,Research
89664,Pranjal,Rossi,1965-01-20,1998-07-07,9999-01-01,Marketing
89680,Aiman,Mawatari,1965-01-27,1988-05-01,9999-01-01,Production
89806,Xiadong,Shinomoto,1965-01-27,1997-05-24,9999-01-01,Production
89922,Alexius,Ibel,1965-01-26,1988-04-24,9999-01-01,Production
89941,Arnould,Weedman,1965-01-23,1989-07-28,9999-01-01,Marketing
90077,Vivian,Guerreiro,1965-01-24,1991-07-08,9999-01-01,Development
90084,Renny,Bale,1965-01-01,1989-11-22,9999-01-01,Production
90211,Bader,Denis,1965-01-15,1997-10-06,9999-01-01,Production
90292,Koichi,Assaf,1965-01-09,1990-05-26,9999-01-01,Production
90518,Fumiko,Chepyzhov,1965-01-24,1988-01-28,9999-01-01,Customer Service
90614,Yonghoan,Trogemann,1965-01-29,1988-09-23,9999-01-01,Production
90692,Rajmohan,DasSarma,1965-01-03,1985-09-14,9999-01-01,Marketing
91172,Kazuhisa,Melter,1965-01-19,1987-07-16,9999-01-01,Customer Service
91182,Lucien,Schwartzburd,1965-01-04,1988-08-25,9999-01-01,Development
91229,Yahiko,Hebden,1965-01-01,1996-10-03,9999-01-01,Production
91256,Gunilla,Milicic,1965-01-13,1998-01-09,9999-01-01,Marketing
91333,Lobel,Stafford,1965-01-27,1998-11-29,9999-01-01,Sales
91415,Jamaludin,Nilsson,1965-01-04,1987-01-15,9999-01-01,Sales
91648,Dmitry,Msuda,1965-01-29,1988-10-22,9999-01-01,Marketing
92438,Aria,Kilgore,1965-01-04,1992-04-11,9999-01-01,Customer Service
92454,Visit,McFarlan,1965-01-24,1987-10-22,9999-01-01,Quality Management
92577,Zhanqiu,Farrow,1965-01-06,1999-01-10,9999-01-01,Production
92598,Ranga,Merro,1965-01-18,1996-05-11,9999-01-01,Production
92685,Mang,Atchley,1965-01-26,1995-06-07,9999-01-01,Sales
92841,Claude,Candan,1965-01-22,1993-08-04,9999-01-01,Sales
92846,Anyuan,Kropatsch,1965-01-11,1986-09-05,9999-01-01,Marketing
92920,Huei,Hutter,1965-01-20,1993-01-28,9999-01-01,Development
93040,Jaques,Kabayashi,1965-01-19,1992-03-13,9999-01-01,Development
93220,Richara,Walston,1965-01-11,1996-08-27,9999-01-01,Quality Management
93278,Magdalena,Penn,1965-02-01,1997-01-04,9999-01-01,Production
93549,Arie,Coullard,1965-02-01,2000-03-28,9999-01-01,Sales
93600,Kristina,Neimat,1965-01-13,1988-04-18,9999-01-01,Production
94331,Ramzi,Cronau,1965-01-26,1999-09-03,9999-01-01,Production
94416,Aran,Cesareni,1965-01-01,2001-11-20,9999-01-01,Sales
94761,Hitofumi,Zaccaria,1965-01-27,1988-11-22,9999-01-01,Development
94944,Heping,Matheson,1965-01-13,1988-06-24,9999-01-01,Development
95181,Yishai,Cappelli,1965-01-28,1997-01-30,9999-01-01,Research
95286,Kristin,Guerreiro,1965-01-18,1989-08-23,9999-01-01,Development
95314,Rasiah,Koblick,1965-01-22,1991-08-21,9999-01-01,Sales
95406,Alair,Lyonns,1965-01-08,1997-07-12,9999-01-01,Development
95416,Gianluca,Ramaiah,1965-01-13,1993-11-29,9999-01-01,Development
95509,Kristinn,Loncour,1965-01-11,1995-02-08,9999-01-01,Production
95920,Nobuyoshi,Hegner,1965-01-19,1994-09-07,9999-01-01,Finance
96571,Kokou,Garrabrants,1965-01-13,1997-11-05,9999-01-01,Production
96579,Mohan,Tasistro,1965-01-18,1996-02-10,9999-01-01,Production
96767,Arumugam,Vecchio,1965-01-07,1985-08-14,9999-01-01,Production
97018,Jeanna,Chinen,1965-01-09,1989-01-01,9999-01-01,Production
97623,Haldon,Janetzko,1965-01-25,1990-09-11,9999-01-01,Human Resources
97661,Avishai,Hegner,1965-01-31,1993-05-08,9999-01-01,Research
98288,Sumali,Huttel,1965-01-12,1989-09-12,9999-01-01,Research
98306,Ziya,Kadhim,1965-01-16,1999-06-24,9999-01-01,Production
98639,Florina,Assaf,1965-01-29,1996-05-18,9999-01-01,Research
99057,Shugo,Reeken,1965-01-30,1999-06-21,9999-01-01,Customer Service
99373,Xiaobin,Christianini,1965-01-13,1985-12-25,9999-01-01,Customer Service
99377,Carrsten,Francisci,1965-01-18,1991-06-16,9999-01-01,Development
99590,Dhritiman,Anily,1965-01-24,1998-12-16,9999-01-01,Sales
99654,Mahendra,Motley,1965-01-30,1985-09-28,9999-01-01,Research
100865,Hisao,Peral,1965-01-19,1990-10-03,9999-01-01,Production
100916,Heejo,Aamodt,1965-01-18,1992-04-22,9999-01-01,Development
101487,Abdelaziz,Sury,1965-01-14,1991-01-31,9999-01-01,Sales
101647,Mori,Homond,1965-01-22,1994-05-10,9999-01-01,Sales
101902,Mantis,Millington,1965-01-14,1991-03-18,9999-01-01,Sales
102620,Adin,Templeman,1965-01-03,1999-08-12,9999-01-01,Quality Management
103196,Djenana,Albarhamtoshy,1965-01-16,1988-07-16,9999-01-01,Human Resources
103310,Visit,Swen,1965-01-07,1995-10-02,9999-01-01,Marketing
103316,Susanne,Peternell,1965-01-03,1994-07-27,9999-01-01,Development
103342,Beshir,Hellwagner,1965-01-03,1998-02-03,9999-01-01,Quality Management
103756,Heping,Halloran,1965-01-31,1992-04-08,9999-01-01,Development
104133,Pranjal,Zyda,1965-01-31,1991-07-03,9999-01-01,Sales
104845,Werner,Lodder,1965-01-29,1992-06-17,9999-01-01,Finance
104988,Parviz,Litzler,1965-01-07,1992-08-08,9999-01-01,Development
105342,Kwun,Reeker,1965-01-01,1999-07-29,9999-01-01,Quality Management
105356,Diederik,Matzov,1965-01-29,1995-03-08,9999-01-01,Research
105432,Mohamadou,Stafford,1965-01-08,1995-09-12,9999-01-01,Development
105520,Haldun,Lienhardt,1965-01-01,1987-01-29,9999-01-01,Sales
105731,Sachem,Cromarty,1965-01-15,1990-08-20,9999-01-01,Development
106096,Naftali,Schurmann,1965-01-14,1992-12-02,9999-01-01,Production
106242,Nevio,Thisen,1965-02-01,1988-03-25,9999-01-01,Human Resources
106695,Lijie,Garrabrants,1965-01-31,1988-10-26,9999-01-01,Development
106710,Babette,Anandan,1965-01-31,1986-11-22,9999-01-01,Marketing
107486,Siamak,Luiz,1965-01-23,1987-02-11,9999-01-01,Development
107737,Fabrizio,Chleq,1965-01-23,1999-07-31,9999-01-01,Development
107792,Shahab,Crooks,1965-01-13,1992-03-18,9999-01-01,Marketing
107828,Ramya,Walston,1965-01-26,1989-02-03,9999-01-01,Sales
108091,Hisao,Ghemri,1965-01-09,1985-11-14,9999-01-01,Customer Service
108198,Randi,Samarati,1965-01-24,1992-10-20,9999-01-01,Research
108316,Shai,Stellhorn,1965-01-02,1992-05-21,9999-01-01,Production
108988,Oksana,Baek,1965-01-19,1989-07-20,9999-01-01,Sales
109062,Jamaludin,Kandlur,1965-02-01,1992-06-19,9999-01-01,Development
109211,Gor,Delgrande,1965-01-11,2002-06-18,9999-01-01,Research
109252,Moty,Winter,1965-01-15,1991-04-28,9999-01-01,Production
109278,Bangqing,Schach,1965-01-21,1988-03-22,9999-01-01,Finance
109552,Menkae,Etalle,1965-01-31,1997-05-21,9999-01-01,Development
109598,Stamatina,Auyong,1965-02-01,1988-07-05,9999-01-01,Finance
109620,Mani,Cannata,1965-01-02,1989-06-21,9999-01-01,Sales
109703,Arco,Walston,1965-01-17,1999-08-16,9999-01-01,Production
109741,Hatem,Fadgyas,1965-01-11,1991-11-13,9999-01-01,Production
109953,Godehard,Chorvat,1965-01-26,1988-04-10,9999-01-01,Sales
200267,Chuanti,Luff,1965-01-08,1994-09-21,9999-01-01,Customer Service
200312,Akemi,Fujisaki,1965-01-27,2001-11-13,9999-01-01,Quality Management
200363,Kirk,Quaggetto,1965-01-10,1987-06-30,9999-01-01,Development
200735,Dinah,Denos,1965-01-09,1992-09-21,9999-01-01,Marketing
200789,Susumu,Camurati,1965-01-14,1991-12-15,9999-01-01,Marketing
201229,Alejandra,Khasidashvili,1965-01-03,1994-07-30,9999-01-01,Human Resources
201708,Anneli,Perl,1965-01-15,1992-09-08,9999-01-01,Human Resources
201709,Fan,Kakkad,1965-01-01,1988-02-25,9999-01-01,Finance
201739,Genta,Terekhov,1965-01-16,1998-07-21,9999-01-01,Development
201801,Waiman,Genin,1965-01-12,1988-10-30,9999-01-01,Development
201915,Sudharsan,DeMori,1965-01-02,1992-03-30,9999-01-01,Production
202291,Ortrun,Schmiedel,1965-01-16,1997-07-18,9999-01-01,Production
202403,Gully,Perko,1965-01-09,1999-07-07,9999-01-01,Production
202414,Zvonko,Murthy,1965-01-13,1992-01-07,9999-01-01,Customer Service
202552,Morris,Saoudi,1965-01-05,1991-11-22,9999-01-01,Production
202826,Kerhong,Matzke,1965-01-19,1986-11-14,9999-01-01,Development
202882,Isaac,Koshino,1965-01-25,1995-09-28,9999-01-01,Development
202950,Giordano,Pietrzykowski,1965-01-17,1987-03-26,9999-01-01,Human Resources
203474,Hugh,Jonsson,1965-01-03,1991-07-06,9999-01-01,Sales
203495,Zongyan,Gips,1965-01-02,1997-05-31,9999-01-01,Development
203599,Ewing,DiGiano,1965-01-21,2000-02-01,9999-01-01,Development
203720,Sasan,Thimonier,1965-01-30,1996-08-21,9999-01-01,Sales
203946,Yefim,Marwedel,1965-01-23,1993-03-30,9999-01-01,Human Resources
204117,Jessie,Nooteboom,1965-01-10,2000-12-13,9999-01-01,Customer Service
204133,Susuma,Bergere,1965-01-22,1996-02-25,9999-01-01,Finance
204246,Arve,Worfolk,1965-01-09,1985-04-01,9999-01-01,Research
204425,Gretta,Huttel,1965-01-03,1990-10-08,9999-01-01,Development
204470,Hein,Lichtner,1965-01-22,1998-05-02,9999-01-01,Customer Service
204471,Franziska,Maginnis,1965-01-27,1986-02-17,9999-01-01,Development
204764,Susanne,Mandelberg,1965-01-22,1990-11-02,9999-01-01,Development
205018,Yahiko,Awdeh,1965-01-26,1998-08-05,9999-01-01,Quality Management
205085,Moni,Kornyak,1965-01-23,1991-09-26,9999-01-01,Development
205174,Leszek,Spinelli,1965-01-05,1998-12-10,9999-01-01,Marketing
205500,Mary,Setiz,1965-01-04,1989-01-13,9999-01-01,Development
205627,Stabislas,Broder,1965-01-21,1996-07-16,9999-01-01,Production
205660,Kien,Barreiro,1965-01-27,2000-10-24,9999-01-01,Marketing
205699,Youjian,Yetto,1965-01-31,1994-12-07,9999-01-01,Sales
205789,Limsoon,Skafidas,1965-01-31,1999-08-10,9999-01-01,Finance
205863,Aiichiro,Kusalik,1965-01-06,1990-10-04,9999-01-01,Quality Management
206748,Yucai,Fabrizio,1965-01-07,1999-10-06,9999-01-01,Sales
206836,Guadalupe,Pfau,1965-01-12,1993-03-22,9999-01-01,Research
206966,Tzu,Sichman,1965-01-21,1987-11-17,9999-01-01,Development
207021,Jacqueline,Akaboshi,1965-01-20,1997-12-06,9999-01-01,Production
207068,Zhiguo,Ariola,1965-01-13,1994-09-07,9999-01-01,Marketing
207204,Kellie,Schrooten,1965-01-25,1991-01-17,9999-01-01,Development
207401,Shuji,Barbanera,1965-01-04,1987-08-10,9999-01-01,Research
207551,Baziley,Falck,1965-01-15,1995-02-18,9999-01-01,Development
207779,Chinya,Kamble,1965-01-16,1992-05-31,9999-01-01,Research
207980,Remko,Vieth,1965-01-07,1990-11-22,9999-01-01,Human Resources
208147,Manu,Rothenberg,1965-01-09,1988-12-06,9999-01-01,Development
208330,Shen,Flanders,1965-01-11,1989-07-03,9999-01-01,Sales
208639,Larisa,Lukaszewicz,1965-01-27,1996-10-30,9999-01-01,Customer Service
208653,Phillip,Schade,1965-01-23,1989-03-03,9999-01-01,Development
208784,Pranjal,Juneja,1965-01-30,1985-03-21,9999-01-01,Production
209101,Xinyu,Edelhoff,1965-01-05,1997-10-26,9999-01-01,Quality Management
209443,Krassimir,Garnier,1965-01-19,1998-01-26,9999-01-01,Human Resources
209565,Dante,Covnot,1965-01-09,1989-05-28,9999-01-01,Marketing
209712,Nimmagadda,Baak,1965-01-17,1987-10-30,9999-01-01,Development
210017,Shalesh,Lovengreen,1965-01-28,1990-09-29,9999-01-01,Human Resources
210292,Lihong,Zeilberger,1965-01-18,1996-04-28,9999-01-01,Human Resources
210449,Gino,Lagarias,1965-01-19,1997-06-22,9999-01-01,Production
210752,Saniya,Stenning,1965-01-25,1986-12-10,9999-01-01,Marketing
210786,Werner,Ranze,1965-01-31,1998-06-05,9999-01-01,Human Resources
211858,Domenico,Ratnaker,1965-01-08,1985-03-24,9999-01-01,Production
211879,Gao,Ranze,1965-01-12,1994-11-24,9999-01-01,Development
211967,Anwar,Bain,1965-01-07,1989-01-22,9999-01-01,Development
212093,Leni,Henders,1965-01-11,1993-11-19,9999-01-01,Human Resources
212154,Sailaja,Holburn,1965-01-17,1991-03-04,9999-01-01,Customer Service
212361,Claudi,Stanfel,1965-01-16,1996-01-07,9999-01-01,Quality Management
213016,Yongmao,Fontan,1965-01-22,1993-07-26,9999-01-01,Development
213140,Tru,Danecki,1965-01-10,1997-03-31,9999-01-01,Sales
213384,Pranas,Narwekar,1965-01-04,1985-09-26,9999-01-01,Development
213447,Armond,Perly,1965-02-01,1989-09-14,9999-01-01,Production
214215,Xiaoqiang,Cardazo,1965-01-25,1993-05-28,9999-01-01,Sales
214391,Rayond,Klassen,1965-01-15,1993-09-11,9999-01-01,Customer Service
214427,Peer,Molberg,1965-01-29,1996-11-17,9999-01-01,Production
214539,Ingmar,Kohling,1965-01-27,1995-04-25,9999-01-01,Development
214634,Shirish,Vickson,1965-01-12,1989-10-24,9999-01-01,Development
214789,Arfst,Chepyzhov,1965-01-28,1989-02-06,9999-01-01,Production
214866,Gopalakrishnan,Angel,1965-02-01,1997-07-05,9999-01-01,Development
214995,Dinkar,Hoppenstand,1965-01-12,1994-05-04,9999-01-01,Production
215419,Flemming,Kroha,1965-01-16,1995-01-23,9999-01-01,Human Resources
215629,Munehiro,Manders,1965-01-15,1987-05-18,9999-01-01,Customer Service
215746,Sven,Speer,1965-01-08,1999-07-08,9999-01-01,Finance
215843,Pramod,Loncour,1965-01-30,1987-03-31,9999-01-01,Marketing
216054,Sahrah,Angiulli,1965-01-24,1986-07-31,9999-01-01,Research
216342,Aiichiro,Cromarty,1965-01-22,1995-06-10,9999-01-01,Development
216375,Byong,Gustavson,1965-01-16,1985-03-12,9999-01-01,Development
216502,Xiaocheng,Suermann,1965-01-26,1997-12-15,9999-01-01,Development
216573,Ashish,Vidya,1965-01-29,1989-06-16,9999-01-01,Production
216921,Lena,Lenart,1965-01-22,1990-12-25,9999-01-01,Sales
217026,Otmar,Engberts,1965-01-11,1993-08-16,9999-01-01,Sales
217080,Masami,Puoti,1965-01-12,2000-01-21,9999-01-01,Development
217272,Yuchang,Eldridge,1965-01-21,1986-08-01,9999-01-01,Sales
217286,Yannik,Spelt,1965-01-05,1992-09-22,9999-01-01,Development
217320,Abdelwaheb,Denis,1965-01-10,1993-09-10,9999-01-01,Quality Management
217363,Horward,Marzano,1965-01-14,1996-04-11,9999-01-01,Customer Service
217387,Jianhao,Molenaar,1965-01-21,1987-10-22,9999-01-01,Development
217551,Panayotis,Lukaszewicz,1965-01-02,1989-06-06,9999-01-01,Production
217800,Shay,Servieres,1965-02-01,1998-08-06,9999-01-01,Finance
218022,Mokhtar,Poupard,1965-01-26,1992-02-02,9999-01-01,Development
218100,Jiong,Garnham,1965-01-24,1990-01-02,9999-01-01,Human Resources
218831,Unal,DuBourdieux,1965-01-16,1996-03-13,9999-01-01,Production
219035,Kristine,Bierman,1965-01-18,1988-05-13,9999-01-01,Quality Management
219047,Aemilian,Kusalik,1965-01-30,1987-05-27,9999-01-01,Development
219052,Marsal,Acton,1965-01-06,1995-08-02,9999-01-01,Marketing
219417,Subhrajyoti,Denna,1965-01-29,1996-07-25,9999-01-01,Research
219497,Moie,Zastre,1965-01-22,1991-10-11,9999-01-01,Development
219967,Susanna,Reeken,1965-01-16,1998-03-16,9999-01-01,Human Resources
220029,Demos,Asser,1965-01-17,1985-11-04,9999-01-01,Development
220131,Reinhard,Slaats,1965-01-09,1994-06-08,9999-01-01,Development
220418,Poorav,Laventhal,1965-01-23,1997-08-16,9999-01-01,Sales
220528,Sibyl,Rabehasaina,1965-01-06,1998-02-23,9999-01-01,Research
220582,Poornachandra,Zielinski,1965-01-08,1996-02-13,9999-01-01,Marketing
220611,Yuping,Babb,1965-01-23,1995-01-31,9999-01-01,Sales
220625,Shigenori,Deville,1965-01-25,1992-12-24,9999-01-01,Production
220699,Nahid,Gyimothy,1965-01-07,1995-08-18,9999-01-01,Customer Service
220799,Perla,Orlowska,1965-01-17,1998-10-13,9999-01-01,Research
221126,Tesuya,dAstous,1965-01-23,1988-11-29,9999-01-01,Development
221367,Saddek,Farris,1965-01-13,1990-11-06,9999-01-01,Customer Service
221369,Abdulah,Pocchiola,1965-01-28,1996-08-28,9999-01-01,Quality Management
221435,Djenana,Marrevee,1965-01-06,1994-02-06,9999-01-01,Production
221973,Sangeeta,Kalefeld,1965-01-17,1990-06-06,9999-01-01,Marketing
222206,Stein,Uludag,1965-01-21,1988-01-30,9999-01-01,Human Resources
222311,Miyeon,Billingsley,1965-01-20,1992-12-05,9999-01-01,Development
222319,Matt,Chvatal,1965-01-20,1994-11-09,9999-01-01,Development
222354,Valdiodio,Schlumberger,1965-01-15,1993-08-07,9999-01-01,Development
222616,Badri,Schapire,1965-02-01,1998-01-19,9999-01-01,Quality Management
222770,Kazuhiko,Kushner,1965-01-22,1995-08-01,9999-01-01,Development
222878,Annemarie,Zallocco,1965-01-10,1996-12-01,9999-01-01,Production
222926,Limsoon,Erol,1965-01-10,1997-12-31,9999-01-01,Development
222952,Gopalakrishnan,Suermann,1965-01-28,1991-04-30,9999-01-01,Production
222998,Leaf,Awdeh,1965-01-07,1992-10-02,9999-01-01,Marketing
223593,Hidefumi,Moehrke,1965-01-20,1998-03-04,9999-01-01,Marketing
223595,Chiranjit,Dredge,1965-02-01,1999-09-05,9999-01-01,Production
224135,Annemarie,Bressoud,1965-01-02,1998-06-23,9999-01-01,Development
224335,Perry,Chachaty,1965-01-29,1985-07-22,9999-01-01,Development
224390,True,Shobatake,1965-01-24,1996-05-17,9999-01-01,Research
224934,George,Miake,1965-01-05,1988-01-02,9999-01-01,Human Resources
225438,Remmert,Quaggetto,1965-01-14,1992-04-28,9999-01-01,Sales
225601,Masasuke,Genin,1965-01-13,1994-06-25,9999-01-01,Development
225788,Ipke,Kieras,1965-01-08,1995-12-18,9999-01-01,Development
225867,Ramalingam,Remmele,1965-01-26,1999-09-03,9999-01-01,Quality Management
225964,Mooi,Cooman,1965-01-19,1989-06-07,9999-01-01,Production
226216,Giordano,Gini,1965-01-28,1993-08-14,9999-01-01,Quality Management
226227,Herbert,Erva,1965-01-07,1986-09-06,9999-01-01,Production
227354,Gio,Murtha,1965-01-12,1986-11-11,9999-01-01,Development
227476,Macha,Schnabel,1965-01-11,1988-05-11,9999-01-01,Development
227681,Mikhail,Rousseau,1965-01-30,1998-11-30,9999-01-01,Finance
227899,Garnik,Luce,1965-01-23,1998-09-15,9999-01-01,Marketing
227901,Francesca,Azuma,1965-01-26,1996-06-08,9999-01-01,Research
228098,IEEE,Kroll,1965-01-18,1998-02-17,9999-01-01,Customer Service
228248,Yuriy,Plump,1965-01-09,1988-09-08,9999-01-01,Research
228554,Bilhanan,Brendel,1965-01-03,1990-12-23,9999-01-01,Sales
228766,Nahla,Smailagic,1965-01-11,1993-02-12,9999-01-01,Production
229098,Berry,Yurek,1965-01-08,1995-08-16,9999-01-01,Customer Service
229220,Fabrizio,Lichtman,1965-01-21,1987-02-09,9999-01-01,Production
229248,Harjit,Terekhov,1965-01-27,1995-10-19,9999-01-01,Research
229386,Pohua,Tasistro,1965-01-03,1994-11-04,9999-01-01,Customer Service
229391,Paloma,Henseler,1965-01-15,1991-06-11,9999-01-01,Production
229404,Gilbert,Kilgour,1965-01-11,1996-04-05,9999-01-01,Human Resources
229547,Moni,Schach,1965-01-03,1986-07-04,9999-01-01,Sales
229727,Ewing,Millington,1965-01-23,1999-09-28,9999-01-01,Development
229981,Jamaludin,Fordan,1965-01-19,1992-02-06,9999-01-01,Production
230002,Tadahiro,Backhouse,1965-01-07,1991-10-02,9999-01-01,Development
230126,Bezalel,Radivojevic,1965-01-31,1988-07-02,9999-01-01,Customer Service
230287,Renny,Alameldin,1965-01-14,1997-09-28,9999-01-01,Production
230354,Yinghua,Lorho,1965-01-31,1991-08-09,9999-01-01,Human Resources
230498,Kolar,Puppo,1965-01-15,1990-04-25,9999-01-01,Production
230579,Shahar,Negoita,1965-01-17,1994-03-19,9999-01-01,Finance
230689,Dietrich,Crabtree,1965-01-14,1986-05-24,9999-01-01,Sales
230865,Takushi,Brattka,1965-01-02,1999-06-03,9999-01-01,Marketing
231069,Trygve,Siksek,1965-01-22,1995-11-09,9999-01-01,Sales
231459,Nectarios,Pramanik,1965-01-28,1999-11-18,9999-01-01,Production
231671,Chandrasekaran,Pearson,1965-01-07,1995-04-14,9999-01-01,Customer Service
231798,Goetz,Alvarado,1965-01-28,1988-12-25,9999-01-01,Development
232178,Etsuo,Anandan,1965-01-29,1989-12-13,9999-01-01,Human Resources
232209,Nitsan,Rouquie,1965-01-11,1988-08-01,9999-01-01,Quality Management
232697,Barry,Ramsak,1965-01-23,1990-09-07,9999-01-01,Production
232723,Tesuya,Bugrara,1965-01-14,1993-02-13,9999-01-01,Quality Management
233114,Alselm,Gargeya,1965-01-20,1987-12-25,9999-01-01,Development
233394,Khalid,Lenart,1965-01-06,1995-12-24,9999-01-01,Development
233397,Fay,Sundgren,1965-01-16,1990-07-07,9999-01-01,Sales
233426,Etsuo,Usery,1965-01-12,1995-03-02,9999-01-01,Development
233690,Cedric,Riefers,1965-01-17,1994-09-08,9999-01-01,Development
233759,Zissis,Lodder,1965-01-14,2000-05-27,9999-01-01,Customer Service
233765,Kotesh,Chachaty,1965-01-20,1991-03-25,9999-01-01,Development
233785,Baziley,Ballarin,1965-01-30,1987-07-28,9999-01-01,Sales
233818,Kellie,Heydon,1965-01-01,1985-11-11,9999-01-01,Development
234195,Luerbio,Terkki,1965-01-07,1991-05-14,9999-01-01,Sales
234739,Foong,Aamodt,1965-01-31,1986-06-28,9999-01-01,Production
235017,Irena,Dratva,1965-01-17,1991-09-07,9999-01-01,Sales
235096,Sverrir,Gyimothy,1965-01-21,1995-07-30,9999-01-01,Customer Service
235325,Gro,Prochazka,1965-01-06,1992-10-16,9999-01-01,Development
235368,Anneli,Joslin,1965-01-09,1987-04-12,9999-01-01,Production
235458,Gio,Heuser,1965-01-05,1992-06-28,9999-01-01,Research
235729,Henk,Anger,1965-02-01,1993-01-19,9999-01-01,Marketing
235780,Sampalli,Bergere,1965-01-17,1994-04-08,9999-01-01,Production
235793,Jayesh,Spinelli,1965-01-03,1999-01-16,9999-01-01,Quality Management
236315,IEEE,Raczkowsky,1965-01-31,1996-07-24,9999-01-01,Development
236566,Yechezkel,Maginnis,1965-01-17,1992-12-11,9999-01-01,Customer Service
236591,Insup,Reinhard,1965-01-11,1985-04-08,9999-01-01,Marketing
236827,Almudena,Rijckaert,1965-01-28,1994-02-16,9999-01-01,Development
236883,Huan,Olivero,1965-01-27,1999-11-19,9999-01-01,Sales
236964,Adel,Foote,1965-01-17,2000-03-20,9999-01-01,Customer Service
238112,Miomir,Frezza,1965-01-12,1991-05-25,9999-01-01,Production
238252,Uno,Suppi,1965-01-09,1996-12-27,9999-01-01,Sales
238422,Vishv,Angelov,1965-01-10,1988-03-08,9999-01-01,Sales
238949,Minghong,Cronin,1965-01-09,1987-10-04,9999-01-01,Sales
239067,Tadahiko,Pocchiola,1965-01-11,1996-04-02,9999-01-01,Sales
239244,Abdulla,Kitai,1965-01-13,1987-02-20,9999-01-01,Sales
239415,Susumu,Brender,1965-01-01,1993-04-17,9999-01-01,Production
239426,Vesna,Fairtlough,1965-01-08,2002-05-07,9999-01-01,Research
239664,Sugwoo,Michaels,1965-01-04,1992-08-02,9999-01-01,Production
239706,Arunas,Bugrara,1965-01-15,1997-04-03,9999-01-01,Production
239748,Bilhanan,Dusink,1965-01-23,1988-06-04,9999-01-01,Sales
239803,Oscal,Ernst,1965-01-30,1992-05-19,9999-01-01,Research
240132,Mizuhito,Kobara,1965-02-01,1996-08-09,9999-01-01,Customer Service
240236,True,Tischendorf,1965-01-24,1986-01-19,9999-01-01,Production
240285,Kolar,Greenaway,1965-01-23,1998-11-14,9999-01-01,Customer Service
240340,Mack,Staylopatis,1965-01-14,1985-04-02,9999-01-01,Production
240438,Temple,Cyre,1965-01-02,1992-09-30,9999-01-01,Customer Service
240870,Francesca,Chorvat,1965-01-06,1992-03-17,9999-01-01,Production
241100,Cedric,Molenaar,1965-01-23,1990-10-06,9999-01-01,Development
241254,Jagoda,Anguita,1965-01-15,1993-05-11,9999-01-01,Development
